Book Results on 2018.Sep.17
Accession Date (YYYYMMDD),Accession #, Title,Author,# Times Checked Out
18970902,10414,"Ardath, the story of a dead self.","Corelli, Marie, 1855-1924.",82
18900711,7427,"""I say no"" : or, The love-letter answered.","Collins, Wilkie, 1824-1889.",21
18970902,10415,"The parson's proxy.","Hamilton, Kate W. (Kate Waterman), 1841-1934.",89
18750312,510,"The American's own book : containing the Declaration of independence, with the lives of the signers : the Constitution of the United States : the inaugural addresses and first annual messages of all the presidents from Washington to Pierce : the farewell addresses of George Washington and Andrew Jackson : with a portrait and life of each president of the United States, to the present time.",,5
18920105,8070,"Voyage round the world : embracing the principal events of the narrative of the United States Exploring Expedition in one volume : illustrated with one hundred and seventy-eight engravings on wood.","Wilkes, Charles, 1798-1877.",2
18920105,8071,"The science of common things : a familiar explanation of the first principles of physical science : for schools, families, and young students : illustrated with numerous engravings","Wells, David Ames, 1828-1898.",1
18750312,512,"Compendium of the impending crisis of the South.","Helper, Hinton Rowan, 1829-1909.",15
18920105,8073,"The farm and the fireside : or, The romance of agriculture. Being half hour sketches of life in the country.","Blake, John Lauris, 1788-1857.",4
18750312,513,"Catalogue of the Public library of Indianapolis. 1873.","Indianapolis Public Library.",1
18970902,10416,"On the plantation : a story of a Georgia boy's adventures during the war.","Harris, Joel Chandler, 1848-1908.",44
18920105,8074,"The Acts of the Apostles : with a commentary.","Livermore, Abiel Abbot, 1811-1892.",2
18750313,517,"The rudiments of architecture and building : for the use of architects, builders, draughtsmen, machinists, engineers, and mechanics.","John Bullock",1
18920105,8076,"Gleanings and groupings from a pastor's portfolio.","Danforth, Joshua N. (Joshua Noble), 1798-1861.",3
18750313,519,"The complete farmer and rural economist; containing a compendious epitome of the most important branches of agricultural and rural economy.","Fessenden, Thomas Green, 1771-1837.",4
18920105,8078,"The principles of Latin grammar : comprising the substances of the most approved grammars extant : with an appendix : for the use of schools and colleges.","Bullions, Peter, 1791-1864.",2
18920107,8079,"Corporal Si Klegg and his ""pard"" : how they lived and talked, and what they did and suffered, while fighting for the flag.","Hinman, Wilbur F. (Wilbur Fisk), d. 1905.",193
18920107,8080,"Mr. Isaacs : a tale of modern India.","Crawford, F. Marion (Francis Marion), 1854-1909.",88
18900711,7429,"The price of honor, or, Beyond compare.","Gibbon, Charles, 1843-1890.",25
18900711,7430,"Mr. Perkins of New Jersey : or, The stolen bonds.","Parker, Gay.",5
18900711,7432,"Beatrice : a novel.","Haggard, H. Rider (Henry Rider), 1856-1925.",16
18990708,11298,"The fur seals and fur-seal islands of the North Pacific Ocean. Pt. 2., Observations on the fur seals of the Pribilof Islands, 1872-1897 : as extracted from the log of St. Paul Island, and as recorded in the daily journal of the Commission of 1896 and 1897.","Jordan, David Starr.",1
18900711,7433,"Her second love.","Brame, Charlotte M., 1836-1884.",11
18900711,7434,"A terrible temptation.","Reade, Charles, 1814-1884.",1
18990708,11300,"Regulations for the Army of the United States, 1895 : with appendix separately indexed, showing changes to January 1 1899.","United States. War Dept.",1
18900711,7435,"Sweet as a rose.","Durward, Mostyn.",44
18990708,11302,"Report of the Commissioner of Education made to the Secretary of the Interior for the year ... with accompanying papers.","United States. Bureau of Education.",1
18990708,11304,"The Rough Riders.","Roosevelt, Theodore, 1858-1919.",49
18990708,11305,"Home life in colonial days.","Earle, Alice Morse, 1851-1911.",15
18990721,11306,"The cruise of the Cachalot : round the world after sperm whales.","Bullen, Frank Thomas, 1857-1915.",30
18990809,11307,"The span o' life : a tale of Louisbourg & Quebec.","McLennan, William, 1856-1904.",2
18890809,11308,"Richard Carvel.","Churchill, Winston, 1871-1947.",82
18990828,11310,"Dreamers of the Ghetto.","Zangwill, Israel, 1864-1926.",73
18990828,11311,"The Castle inn.","Weyman, Stanley John, 1855-1928.",102
18990828,11312,"The workers : an experiment in reality ; the East.","Wyckoff, Walter Augustus, 1865-1908.",22
18990828,11313,"The adventures of François : foundling, thief, juggler, and fencing master, during the French revolution.","Mitchell, S. Weir (Silas Weir), 1829-1914.",71
18990828,11314,"Heart & sword.","Stannard, Henrietta Eliza Vaughan Palmer, 1856-1911.",104
18990914,11315,"That fortune : a novel.","Warner, Charles Dudley, 1829-1900.",68
18750501,1911,"The Popular science monthly.","E. L. Youmans Cond.",1
18990914,11316,"Report of Commissioner of Fish and Fisheries.","United States Fish Commission.",1
18750501,1914,"Phrenological journal.","S. R. Wells Ed.",1
18900711,7436,Victims.,"Gift, Theo, 1847-1923.",7
18900711,7437,"Robert Elsmere.","Ward, Humphry, Mrs., 1851-1920.",5
18900711,7438,"Marcia; or, Cross purposes.","Britts, Mattie Dyer.",12
18750313,522,"Laicus : or, The experiences of a layman in a country parish.","Abbott, Lyman, 1835-1922.",7
18900925,7442,"In darkest Africa : or, The quest, rescue and retreat of Emin, governor of Equatoria.","Stanley, Henry M. (Henry Morton), 1841-1904.",47
18900925,7443,"In darkest Africa : or, The quest, rescue and retreat of Emin, governor of Equatoria.","Stanley, Henry M. (Henry Morton), 1841-1904.",19
18750313,525,"The soldier boy : or, Tom Somers in the army : a story of the great rebellion.","Adams, William T. ‡q (William Taylor), 1822-1897.",2
18750313,527,"The young lieutenant, or The adventures of an army officer : a story of the great rebellion.","Adams, William T. ‡q (William Taylor), 1822-1897.",127
18900928,7444,"American authors for young folks.","Harris, Amanda B. (Amanda Bartlett), 1824-1917.",18
18901014,7445,"Harper's young people.",,35
18901014,7446,"Harper's young people.",,106
18901014,7447,"Harper's young people.",,36
18901014,7448,"Harper's young people.",,1
18750313,530,"Little by little.","Adams, William T. ‡q (William Taylor), 1822-1897.",2
18901014,7449,"St. Nicholas.",,17
18750313,533,"Poor and proud; or, The fortunes of Katy Redburn, a story for young folks.","Adams, William T. ‡q (William Taylor), 1822-1897.",1
18750313,534,"Through by daylight, or, The young engineer of the Lake Shore Railroad.","Adams, William T. ‡q (William Taylor), 1822-1897.",155
18750313,535,"Lightning express, or, The Rival academies.","Adams, William T. ‡q (William Taylor), 1822-1897.",187
18750313,537,"Brake up ; or, The young peacemakers.","Adams, William T. ‡q (William Taylor), 1822-1897.",19
18750313,538,"Bear and forbear, or, The young skipper of Lake Ucayga.","Adams, William T. ‡q (William Taylor), 1822-1897.",1
18790503,3383,"The federal and state constitutions, colonial charters, and other organic laws of the United States","Poore, Benjamin Perley, 1820-1887.",1
18750313,539,"The starry flag, or, The young fisherman of Cape Ann.","Adams, William T. ‡q (William Taylor), 1822-1897.",1
18790503,3384,"The federal and state constitutions, colonial charters, and other organic laws of the United States.","Poore, Benjamin Perley, 1820-1887.",1
18750313,540,"Rich and humble : or, The mission of Bertha Grant : a story for young people.","Adams, William T. (William Taylor), 1822-1897.",17
18920107,8081,"A fool's errand.","Tourgée, Albion Winegar, 1838-1905.",37
18990914,11324,"Tables showing the number of positions in the executive civil service of the United States : classified and unclassified, on June 30, 1896, with their compensation by grades and classes, and their status under civil-service rules.","United States Civil Service Commission.",1
18970902,10417,"American lands and letters.","Mitchell, Donald Grant, 1822-1908.",5
18970902,10418,"Six months among the palm groves, coral reefs, and volcanoes of the Sandwich Islands.","Bird, Isabella L. (Isabella Lucy), 1831-1904.",22
18970902,10419,"Frances Waldeaux, a novel.","Davis, Rebecca Harding, 1831-1910.",113
18970902,10420,"Mother Carey's chicken : her voyage to the unknown isle.","Fenn, George Manville, 1831-1909.",56
18990914,11334,"Proposed revision of tariff-revenue and protection : report [to accompany H.R. 379.] Mch. 22, 1897.","United States. Congress. House. Committee on Ways and Means.",1
18970902,10421,"Sculpture, renaissance and modern.","Scott, Leader, 1837-1902.",7
18970902,10422,"Epochs in American history.","Ellis, Edward Sylvester, 1840-1916.",3
18990914,11338,"Index to the subjects of the documents and reports and to the committees, senators, and representatives presenting them.",,1
18990914,11340,"A history of the world : earliest peoples.","Ragozin, Zénaïde A. (Zénaïde Alexeïevna), 1835-1924.",2
18901014,7450,"St. Nicholas.",,48
18750313,1112,"The two sisters; or, Virginia and Magdalene.","Southworth, Emma Dorothy Eliza Nevitte, 1819-1899.",1
18901014,7452,"St. Nicholas.",,45
18901014,7453,"St. Nicholas.",,2
18750313,1113,"Vivia : or, The secret of power.","Southworth, Emma Dorothy Eliza Nevitte, 1819-1899.",48
18901014,7454,"St. Nicholas.",,41
18901014,7455,"St. Nicholas.",,60
18991023,11341,"The market-place.","Frederic, Harold, 1856-1898.",81
18901014,7456,"St. Nicholas.",,56
18991023,11342,"Stories of Indiana.","Thompson, Maurice, 1844-1901.",1
18901014,7457,"St. Nicholas.",,47
18991023,11343,"Under Dewey at Manila, or, The war fortunes of a castaway.","Stratemeyer, Edward, 1862-1930.",103
18901014,7458,"St. Nicholas.",,50
18901014,7459,"St. Nicholas.",,32
18991023,11344,"A young volunteer in Cuba, or, Fighting for the single star.","Stratemeyer, Edward, 1862-1930.",95
18991023,11345,"Fighting in Cuban waters; or : Under Schley on the Brooklyn.","Stratemeyer, Edward, 1862-1930.",93
18901014,7460,"St. Nicholas.",,44
18750313,1114,"The wife's victory : and other nouvellettes.","Southworth, Emma Dorothy Eliza Nevitte, 1819-1899.",3
18901014,7461,"St. Nicholas.",,49
18991023,11346,"Under Otis in the Philippines : or, a young officer in the tropics.","Stratemeyer, Edward, 1862-1930.",89
18901014,7462,"St. Nicholas.",,48
18991030,11347,"The gentleman from Indiana.","Tarkington, Booth, 1869-1946.",52
18901014,7463,"St. Nicholas.",,35
18901014,7464,"St. Nicholas.",,16
18991030,11348,"The Latimers : a tale of the western insurrection of 1794.","McCook, Henry C. (Henry Christopher), 1837-1911.",53
18991030,11349,"With edged tools : a novel.","Merriman, Henry Seton, 1862-1903.",70
18991030,11350,"Janice Meredith : a story of the American revolution.","Ford, Paul Leicester, 1865-1902.",86
18991030,11351,"Standish of Standish : a story of the pilgrims.","Austin, Jane G. (Jane Goodwin), 1831-1894.",53
18750313,1115,"Hammer and Anvil : a novel.","Spielhagen, Friedrich, 1829-1911.",2
18991108,11352,"Richard Carvel.","Churchill, Winston, 1871-1947.",73
18991108,11353,"When knighthood was in flower; or, The love story of Charles Brandon and Mary Tudor, the king's sister and happening in the reign of His August Majesty, King Henry VIII.","Major, Charles, 1856-1913.",109
18750313,1116,"The Jew.","Spindler, Carl, 1796-1855.",1
18991108,11354,"David Harum : a story of American life.","Westcott, Edward Noyes, 1847-1898.",91
18901014,7465,"St. Nicholas.",,31
18901014,7466,"St. Nicholas.",,52
18901014,7467,"St. Nicholas.",,50
18901014,7468,"Wide awake.",,31
18901014,7469,"Wide awake.",,23
18901014,7470,"Wide awake.",,21
18901014,7471,"Wide awake.",,17
18960312,9699,"Final report of the agent of the United States. Protocols of the proceedings of the Tribunal. Award and declaration. Opinions of Mr. Justice Harlan and Senator Morgan.",,1
18901014,7472,"Wide awake.",,21
18901014,7473,"Wide awake.",,26
18901014,7474,"Wide awake.",,25
18970902,10423,"Animal life on the globe.","Chisholm, Geo. G. (George Goudie), 1850-1930.",14
18750313,1119,"Fashion and famine.","Stephens, Ann S. (Ann Sophia), 1810-1886.",1
18970902,10424,"The Christian, a story.","Caine, Hall, Sir, 1853-1931.",137
18750313,1120,"The gold brick.","Stephens, Ann S. (Ann Sophia), 1810-1886.",1
18901014,7475,"Wide awake.",,22
18901014,7476,"Wide awake.",,6
18901014,7477,"Wide awake.",,26
18970902,10425,"The voyage of the Rattletrap.","Carruth, Hayden, 1862-1932.",69
18970902,10426,"The plant world : its romances and realities; a reading-book of botany.","Vincent, Frank, 1848-1916.",3
18750313,545,"Outward bound, or, Young America afloat : a story of travel and adventure.","Adams, William T. ‡q (William Taylor), 1822-1897.",112
18750313,546,"Shamrock and thistle, or, Young America in Ireland and Scotland : a story of travel and adventure.","Adams, William T. ‡q (William Taylor), 1822-1897.",1
18970902,10427,"In brook and bayou : or, Life in the still waters.","Bayliss, Clara Kern, 1848-",3
18750313,547,"Red cross, or, Young America in England and Wales : a story of travel and adventure.","Adams, William T. ‡q (William Taylor), 1822-1897.",1
18970902,10428,"The country of the pointed firs.","Jewett, Sarah Orne, 1849-1909.",41
18750313,548,"Dikes and ditches, or, Young America in Holland and Belgium : a story of travel and adventure.","Adams, William T. ‡q (William Taylor), 1822-1897.",70
18750313,549,"Palace and cottage, or, Young America in France and Switzerland : a story of travel and adventure.","Adams, William T. ‡q (William Taylor), 1822-1897.",74
18750313,1124,"A noble woman.","Stephens, Ann S. (Ann Sophia), 1810-1886.",1
18750313,1126,"The old homestead.","Stephens, Ann S. (Ann Sophia), 1810-1886.",1
18970902,10429,"A fool of nature.","Hawthorne, Julian, 1846-1934.",50
18970902,10430,"Dan, the newsboy : the story of a boy's life in the streets of New York.","Alger, Horatio, 1832-1899",130
18750313,1127,"Silent struggles.","Stephens, Ann S. (Ann Sophia), 1810-1886.",1
18970902,10431,"Fort Frayne.","King, Charles, 1844-1933.",95
18750313,550,"Down the Rhine, or, Young America in Germany : a story of travel and adventure.","Adams, William T. ‡q (William Taylor), 1822-1897.",45
18970902,10432,"A garrison tangle.","King, Charles, 1844-1933.",135
18970902,10433,"An army wife.","King, Charles, 1844-1933.",155
18970902,10434,Embarrassments.,"James, Henry, 1843-1916.",43
18750313,551,"Edgar Clifton, or, Right and wrong : a story of school life.","Adams, C. (Charlotte)",21
18960312,9706,"Fur seal arbitration : proceedings of the tribunal of arbitration, convened at Paris, under the treaty between the United States of America and Great Britain, concluded at Washington February 20, 1892, for the determination of questions between the two governments concerning the jurisdictional rights of the United States in the waters of Bering sea.","Bering Sea Tribunal of Arbitration.",1
18920607,8083,"A changed heart : a novel.","Fleming, May Agnes, 1840-1880.",77
18991108,11355,"Our county : its history and early settlement by townships : entry of public lands, present owners, reminiscences of pioneer life, etc., with original poems.","Ellis, John S. (John Seymour), b. 1839.",4
18920107,8084,"The voyage of life : a journey from the cradle to the grave.","Louis, S. L.",16
18991108,11356,"Our county : its history and early settlement by townships : entry of public lands, present owners, reminiscences of pioneer life, etc., with original poems.","Ellis, John S. (John Seymour), b. 1839.",2
18991108,11357,"Miscellaneous writings. 1883-1896.","Eddy, Mary Baker, 1821-1910.",19
18920607,8085,"Incidents of the war : humorous, pathetic, and descriptive.","Burnett, Alfred, 1824-1884",20
18750313,554,"Little women, or, Meg, Jo, Beth, and Amy.","Alcott, Louisa May, 1832-1888.",1
18960312,9707,"Proceedings upon the acceptance of the statutes of John Stark and John Stark and Daniel Webster presented by the State of Massachusetts.","United States. Congress.",1
18750313,1130,"Camping out : as recorded by ""Kit"".","Stephens, C. A. (Charles Asbury), 1844-1931.",85
18770315,2615,"Appletons' journal.",,1
18750313,1131,"Left on Labrador : or, The cruise of the schooner-yacht ""Curlew"".","Stephens, C. A. (Charles Asbury), 1844-1931.",46
18770315,2617,"Harper's new monthly magazine.",,1
18920107,8087,"Our oriental missions.","Thomson, E. (Edward), 1810-1870.",2
18920107,8089,"Adrian : or, The clouds of the mind. A romance.","James, G. P. R. (George Payne Rainsford), 1801?-1860.",1
18750313,1132,"Off to the geysers, or, The young yachters in Iceland : as recorded by ""Wade"".","C. A. Stevens",18
18920107,8090,"Christine : or, Woman's trials and triumphs.","Bullard, Laura Curtis",4
18770315,2618,"Official gazette of the United States Patent Office.","Milton S. Robinson",1
18920107,8091,"The three eras of a woman's life : or, the maiden, the wife and the mother.","Arthur, T. S. (Timothy Shay), 1809-1885.",30
18750313,1133,"The chimney-corner.","Stowe, Harriet Beecher, 1811-1896.",4
18750313,1134,"House and home papers.","Stowe, Harriet Beecher, 1811-1896.",6
18750313,1139,"Little foxes.","Stowe, Harriet Beecher, 1811-1896.",4
18750313,563,"Paul Prescott's charge : a story for boys.","Alger, Horatio, 1832-1899.",1
18940322,8867,"The Forum.",,3
18750313,566,"Strong and steady, or, Paddle your own canoe.","Alger, Horatio, 1832-1899.",1
18750313,568,"Ragged Dick, or, Street life in New York with the boot-blacks.","Alger, Horatio, 1832-1899.",23
18940322,8866,"The Forum.",,100
18901014,7490,"Scientific American.",,1
18940322,8868,"The Forum.",,8
18940322,8869,"The Forum.",,3
18750501,1923,"Life in California during a residence of several years in that territory.","Robinson, Alfred, 1806-1895.",2
18901014,7502,"The Youth's companion.",,1
18940522,8871,"The North American review.",,8
18940322,8872,"The North American review.",,2
18901014,7504,"The Youth's companion.",,1
18940322,8874,"The North American review.",,8
18940322,8875,"The North American review.",,4
18940322,8876,"The North American review.",,4
18750515,1924,"The Bible in the public schools : arguments in the case of John D. Minor et al. versus the Board of education of the city of Cincinnati et al., Superior court of Cincinnati, With the opinions and decision of the court.","Minor, John D.",5
18901014,7512,"New-York tribune.",,1
18940322,8877,"Lippincott's monthly magazine.",,46
18940322,8878,"Lippincott's monthly magazine.",,29
18750517,1927,"Campaigning on the Oxus, and the fall of Khiva.","MacGahan, J. A. (Januarius Aloysius), 1844-1878.",2
18750517,1928,"The building of a brain.","Clarke, Edward H. (Edward Hammond), 1820-1877.",2
18750517,1929,"The religion of humanity.","Frothingham, Octavius Brooks, 1822-1895.",1
18750517,1930,"Oliver Cromwell's letters and speeches; with elucidations.","Cromwell, Oliver, 1599-1658.",5
18750517,1931,"Oliver Cromwell's letters and speeches; with elucidations.","Cromwell, Oliver, 1599-1658.",1
18750517,1932,"Oliver Cromwell's letters and speeches.","Cromwell, Oliver, 1599-1658.",2
18750517,1933,"Oliver Cromwell's letters and speeches;  with elucidations.","Cromwell, Oliver, 1599-1658.",1
18940403,8879,"The miscellaneous documents of the House of Representatives.","United States. Congress. House.",1
18940403,8882,"The War of the Rebellion : a compilation of the official records of the Union and Confederate armies.","United States. War Dept.",1
18940403,8883,"The War of the Rebellion: a compilation of the official records of the Union and Confederate armies.","United States. War Dept.",19
18960304,9691,"The privateersman : adventures by sea and land, in civil and savage life one hundred years ago.","Marryat, Frederick, 1792-1848.",38
18940403,8885,"The War of the Rebellion : a compilation of the official records of the Union and Confederate armies.","United States. War Dept.",1
18940403,8889,"The War of the Rebellion : a compilation of the official records of the Union and Confederate armies.","United States. War Dept.",1
18790503,3389,"Journal of the House of Representatives of the United States.","United States. Congress. House.",1
18750313,572,"Ben, the luggage boy, or, Among the wharves.","Alger, Horatio, 1832-1899.",1
18750313,574,"Tattered Tom, or, The story of a street Arab.","Alger, Horatio, 1832-1899.",1
18970902,10435,"Without prejudice.","Zangwill, Israel, 1864-1926.",11
18790503,3394,"Papers in the case of Finley vs. Bisbee : second congressional district of Florida.","United States 45th Cong., 1st sess., 1877. House.",1
18970902,10436,"The colonial cavalier : or, Southern life before the Revolution.","Goodwin, Maud Wilder, 1856-1935.",34
18750313,578,"Only a fiddler.","Andersen, H. C. (Hans Christian), 1805-1875.",5
18970902,10437,"The old town pump, a story of East and West.","Sidney, Margaret, 1844-1924.",85
18790503,3395,"James L Nutting vs. James B. Reilly.","Nutting, James L.",2
18970902,10438,"His Honour, and a lady.","Duncan, Sara Jeannette, 1861-1922.",86
18940403,8895,"Proceedings of the National Conference of Charities and Correction.","National Conference of Charities and Correction (U.S.)",1
18940403,8896,"Memorial addresses on the life and character of James B. Beck, (a senator from Kentucky) : delivered in the Senate and House of Representatives, August 23 and September 13, 1890.","Beck, James B_",1
18960312,9711,"Annual report of the United States Geological Survey to the Secretary of the Interior.","Geological Survey (U.S.)",1
18940403,8900,"The tariff, as viewed from a taxation stand-point.","Johnson, Manson Ulvain.",2
18940403,8901,"The Gothenburg system of liquor traffic.","Wright, Carroll Davidson.",1
18991108,11366,"Laws of the state of Indiana, passed at the ... session of the General Assembly.",Indiana.,1
18991120,11367,"The black wolf's breed : a story of France in the Old world and the New, happening in the reign of Louis XIV.","Dickson, Harris, 1868-1946.",92
18960312,9714,"11th Census of the United States, 1890.","United States. Census Office.",2
18991120,11368,"No. 5 John street.","Whiteing, Richard, 1840-1928.",60
18960312,9715,"Annual report of the Chief of Ordnance to the Secretary of War ...","United States. Army. Ordnance Dept.",1
18991120,11369,"The gentleman from Indiana.","Tarkington, Booth, 1869-1946.",81
18750517,1935,"History of Friedrich II. of Prussia : called Frederick the Great.","Carlyle, Thomas, 1795-1881.",7
18750517,1934,"Oliver Cromwell's letters and speeches; with elucidations.","Cromwell, Oliver, 1599-1658.",1
18901014,7535,"Harper's weekly.",,1
18991120,11370,"Crumbs swept up.","Talmage, T. De Witt (Thomas De Witt), 1832-1902.",3
18991120,11371,"A double thread.","Fowler, Ellen Thorneycroft, 1860-1929.",55
18750517,1936,"History of Friedrich II. of Prussia : called Frederick the Great.","Carlyle, Thomas, 1795-1881.",2
18970902,10439,"A Virginia cavalier.","Seawell, Molly Elliot, 1860-1916.",74
18750517,1937,"History of Friedrich II. of Prussia : called Frederick the Great.","Carlyle, Thomas, 1795-1881.",1
18750517,1938,"History of Friedrich II. of Prussia : called Frederick the Great.","Carlyle, Thomas, 1795-1881.",1
18960312,9718,"The War of the Rebellion : a compilation of the official records of the Union and Confederate armies.","United States. War Dept.",1
18991207,11372,"Santa Claus's partner.","Page, Thomas Nelson, 1853-1922.",35
18750313,579,"The sand-hills of Jutland.","Andersen, H. C. (Hans Christian), 1805-1875",14
18901014,7544,"The Art amateur.",,1
18750313,580,"Hans Andersen's story book.","Andersen, H. C. (Hans Christian), 1805-1875",1
18960312,9720,"Memorial addresses on the life and character of Charles O'Neill (late a representative from Pennsylvania), delivered in the House of representatives and Senate, Fifty-third Congress, second session. Pub. by order of Congress.","United States. Congress (53rd, 2nd session : 1893-1894)",1
18991207,11374,"In connection with the De Willoughby claim.","Burnett, Frances Hodgson, 1849-1924.",79
18750313,582,"The days of Bruce : a story from Scottish history.","Aguilar, Grace, 1816-1847",1
18991207,11375,"Concerning Isabel Carnaby.","Fowler, Ellen Thorneycroft, 1860-1929.",76
18750313,583,"Home influence : a tale for mothers and daughters.","Aguilar, Grace, 1816-1847.",21
18750313,584,"Home scenes and heart studies.","Aguilar, Grace, 1816-1847.",5
18991207,11376,"Admiral George Dewey : a sketch of the man.","Barrett, John, 1866-1938.",1
18750313,586,"Woman's friendship : a story of domestic life.","Aguilar, Grace, 1816-1847.",1
18750517,1939,"History of Friedrich II. of Prussia : called Frederick the Great.","Carlyle, Thomas, 1795-1881.",1
18960312,9721,"Bulletin of the United States Fish Commission..","United States Fish Commission.",1
18750313,588,"The women of Israel.","Aguilar, Grace, 1816-1847.",1
18750517,1941,"History of Friedrich II of Prussia : called Frederick the Great.","Carlyle, Thomas, 1795-1881.",2
18750517,1942,"History of Friedrich II. of Prussia : called Frederick the Great.","Carlyle, Thomas, 1795-1881.",1
18750517,1943,"History of Friedrich II of Prussia : called Frederick the Great.","Carlyle, Thomas, 1795-1881.",2
18960312,9723,"Letter from the Secretary of the Interior submitting the report of Robert F. Berner, special agent under the Sundry Civil Act of March 3, 1893, relative to entries of lands within the limits of the Des Moines River land grant.","United States. Congress. Senate.",1
18750313,589,"The vale of cedars : or, The martyr.","Aguilar, Grace, 1816-1847",2
18750517,1944,"History of Friedrich II of Prussia : called Frederick the Great.","Carlyle, Thomas, 1795-1881.",3
18750313,590,"The thousand and one nights : or, The Arabian nights entertainments : adapted to family reading.",,2
18750517,1946,"The life of John Sterling.","Carlyle, Thomas, 1795-1881.",1
18750517,1947,"The French revolution : a history.","Carlyle, Thomas, 1795-1881.",13
18750517,1948,"The French revolution : a history.","Carlyle, Thomas, 1795-1881.",6
18750517,1949,"The French revolution : a history.","Carlyle, Thomas, 1795-1881.",3
18970902,10441,"Slain by the Doones, and other stories.","Blackmore, R. D. (Richard Doddridge), 1825-1900.",32
18970902,10442,"The cloister and the hearth : or, Maid, wife, and widow; a matter-of-fact romance.","Reade, Charles, 1814-1884",83
18970902,10443,"A king of Tyre a tale of the times of Ezra and Nehemiah.","Ludlow, James M. (James Meeker), 1841-1932.",41
18970902,10444,"The story of a governess.","Oliphant, Mrs. (Margaret), 1828-1897.",108
18790503,3402,"Senate reports.","United States. Congress. Senate.",1
18750313,592,"Light on shadowed paths.","Arthur, T. S. (Timothy Shay), 1809-1885.",1
18940403,8906,"Memoirs of the National Academy of Sciences.",,1
18920107,8088,"Our oriental missions.","Thomson, E. (Edward), 1810-1870.",1
18920114,8100,"Offers and Contracts for carrying the mails, etc. Letter from the post-master-general...",,1
18991208,11378,"Dick Wilson, the rumseller's victim, or, Humanity pleading for the ""Maine Law"" : a temperance story - founded on fact.","Cornyn, John K.",2
18750517,1951,"Critical and miscellaneous essays : collected and republished.","Carlyle, Thomas, 1795-1881.",6
18750517,1953,"Critical and miscellaneous essays : collected and republished.","Carlyle, Thomas, 1795-1881.",4
18750517,1954,"Critical and miscellaneous essays : collected and republished.","Carlyle, Thomas, 1795-1881.",1
18750517,1955,"Critical and miscellaneous essays : collected and republished.","Carlyle, Thomas, 1795-1881.",1
18790503,3407,"Journal of the House of Representatives of the United States.","United States. Congress. House.",2
18991208,11380,"Nurse and spy in the Union Army : comprising the adventures and experiences of a woman in hospitals, camps, and battle-fields.","Edmonds, S. Emma E. (Sarah Emma Evelyn), 1841-1898.",4
18991208,11381,"American commercial law, relating to every kind of business : with full instructions and practical forms, adapted to all the states in the Union.","Chamberlin, Franklin, 1821-1896.",1
18750517,1959,"Past and present.","Carlyle, Thomas, 1795-1881.",11
18991208,11383,"Arrows from my quiver : pointed with the steel of truth and winged by faith and love.","Caughey, James, 1810?-1891.",1
18750517,1960,"Sartor resartus : the life and opinions of Herr Teufelsdröckh.","Carlyle, Thomas, 1795-1881.",9
18750517,1962,"Journal of a tour and residence in Great Britain, during the years 1810 and 1811.","Simond, L. (Louis), 1767-1831.",1
18991208,11388,"Commentary on the Gospels : intended for popular use. Luke--John.","Whedon, D. D. (Daniel Denison), 1808-1885.",1
18970902,10445,"The violet.","Magruder, Julia, 1854-1907.",167
18970902,10446,"A year in the fields.","Burroughs, John, 1837-1921.",12
18970902,10447,"Two strangers.","Oliphant, Mrs. (Margaret), 1828-1897.",87
18970902,10448,"Among the law-makers.","Alton, Edmund, b. 1859.",14
18750313,593,"Out in the world : a novel.","Arthur, T. S. (Timothy Shay), 1809-1885.",1
18970902,10449,"The law of civilization and decay : an essay on history.","Adams, Brooks, 1848-1927.",7
18750313,595,"Wreaths of friendship : a gift for the young.","Arthur, T. S. (Timothy Shay), 1809-1885",1
18970902,10450,"A little girl of long ago.","White, Eliza Orne, b. 1856.",49
18750313,596,"Edelweiss : a story.","Auerbach, Berthold, 1812-1882.",19
18750313,599,"Cipher : a romance.","Austin, Jane G. (Jane Goodwin), 1831-1894.",82
18970902,10451,"The Swiss family Robinson.","Wyss, Johann David, 1743-1818.",54
18750313,598,"Black forest village stories.","Auerbach, Berthold, 1812-1882.",10
18970902,10452,"Money in politics.","Upton, J. K. (Jacob Kendrick), 1837-1902.",2
18750313,600,Emma.,"Austen, Jane, 1775-1817.",20
18970902,10453,"By oak and thorn : a record of English days.","Brown, Alice, 1857-1948",24
18970902,10454,"A history of modern Europe, 1792-1878.","Fyffe, Charles Alan, 1845-1892.",8
18970902,10455,"Flotsam; the story of a life.","Merriman, Henry Seton, 1862-1903.",88
18960313,9729,"Annual report of the Comptroller of the Currency to the ... session of the ... Congress of the United States.","United States. Office of the Comptroller of the Currency.",1
18970902,10456,"The chevalier d'Auriac.","Levett-Yeats, S. (Sidney Kilner)",53
18901101,7569,"Index catalogue of the library of the surgeon-general's office, United States Army (United States Army, Army Medical Library ; National Library of Medicine). 1st series : authors and subjects.","Library of the Surgeon-General's Office (U.S.)",1
18750313,602,"Pride and prejudice.","Austen, Jane, 1775-1817.",2
18970902,10440,"The supply at Saint Agatha's.","Phelps, Elizabeth Stuart, 1844-1911.",24
18750313,603,"The young wrecker of the Florida reef, or, The trials and adventures of Fred Ransom.","Bache, Richard Meade.",54
18750313,604,"The coral island : a tale of the Pacific Ocean.","Ballantyne, R. M. (Robert Michael), 1825-1894.",14
